@RELATION pokemon

@ATTRIBUTE	type	{grass,fire,water,bug,flying,normal,poison,electric,ground}
@ATTRIBUTE	height	REAL
@ATTRIBUTE	weight	REAL
@ATTRIBUTE	name	{Bulbasaur,Ivysaur,Venusaur,Charmander,Charmeleon,Charizard,Squirtle,Wartortle,Blastoise,Caterpie,Metapod,Butterfree,Weedle,Kakuna,Beedrill,Pidgey,Pidgeotto,Pidgeot,Rattata,Raticate,Spearow,Fearow,Ekans,Arbok,Pikachu,Raichu,Sandshrew,Sandslash,NidoranF,Nidorina,Nidoqueen,NidoranM,Nidorino,Nidoking}

@DATA
grass,0.71,7.11,Bulbasaur
grass,0.69,7.45,Bulbasaur
grass,0.6,7.1,Bulbasaur
grass,0.81,7.97,Bulbasaur
grass,0.68,6.06,Bulbasaur
grass,0.68,6.68,Bulbasaur
grass,0.63,7.33,Bulbasaur
grass,0.75,6.45,Bulbasaur
grass,0.54,6.34,Bulbasaur
grass,0.65,7.26,Bulbasaur
grass,0.69,5.91,Bulbasaur
grass,0.65,6.48,Bulbasaur
grass,0.71,6.55,Bulbasaur
grass,0.7,6.35,Bulbasaur
grass,0.66,6.59,Bulbasaur
grass,0.68,7.14,Bulbasaur
grass,0.7,7.36,Bulbasaur
grass,0.74,6.54,Bulbasaur
grass,0.8,6.23,Bulbasaur
grass,0.61,6.29,Bulbasaur
grass,0.82,5.7,Bulbasaur
grass,0.7,6.94,Bulbasaur
grass,0.72,7.08,Bulbasaur
grass,0.7,6.75,Bulbasaur
grass,0.67,8.29,Bulbasaur
grass,1.0,12.78,Ivysaur
grass,1.07,13.23,Ivysaur
grass,0.99,14.17,Ivysaur
grass,1.21,14.42,Ivysaur
grass,0.91,12.42,Ivysaur
grass,0.97,14.57,Ivysaur
grass,1.02,14.06,Ivysaur
grass,0.87,11.42,Ivysaur
grass,0.93,13.18,Ivysaur
grass,1.12,11.97,Ivysaur
grass,1.15,12.5,Ivysaur
grass,0.95,13.8,Ivysaur
grass,0.92,11.97,Ivysaur
grass,0.96,12.41,Ivysaur
grass,0.79,11.94,Ivysaur
grass,1.0,14.13,Ivysaur
grass,1.16,12.97,Ivysaur
grass,0.76,13.41,Ivysaur
grass,1.01,13.37,Ivysaur
grass,0.88,13.4,Ivysaur
grass,0.89,13.63,Ivysaur
grass,0.94,13.16,Ivysaur
grass,1.08,14.16,Ivysaur
grass,0.96,12.6,Ivysaur
grass,1.0,10.35,Ivysaur
grass,1.98,92.86,Venusaur
grass,1.93,111.28,Venusaur
grass,1.97,101.07,Venusaur
grass,1.77,95.45,Venusaur
grass,2.28,101.35,Venusaur
grass,2.13,84.77,Venusaur
grass,2.14,91.38,Venusaur
grass,2.21,98.57,Venusaur
grass,2.0,103.84,Venusaur
grass,2.19,87.64,Venusaur
grass,2.22,83.72,Venusaur
grass,2.19,114.14,Venusaur
grass,2.1,90.76,Venusaur
grass,2.2,78.68,Venusaur
grass,1.96,94.92,Venusaur
grass,1.58,110.1,Venusaur
grass,1.84,111.04,Venusaur
grass,2.29,108.09,Venusaur
grass,2.32,98.18,Venusaur
grass,1.69,132.78,Venusaur
grass,1.94,113.71,Venusaur
grass,1.85,93.79,Venusaur
grass,2.14,113.27,Venusaur
grass,1.9,87.53,Venusaur
