@RELATION pokemon

@ATTRIBUTE	type	{grass,fire,water,bug,flying,normal,poison,electric,ground}
@ATTRIBUTE	height	REAL
@ATTRIBUTE	weight	REAL
@ATTRIBUTE	name	{Bulbasaur,Ivysaur,Venusaur,Charmander,Charmeleon,Charizard,Squirtle,Wartortle,Blastoise,Caterpie,Metapod,Butterfree,Weedle,Kakuna,Beedrill,Pidgey,Pidgeotto,Pidgeot,Rattata,Raticate,Spearow,Fearow,Ekans,Arbok,Pikachu,Raichu,Sandshrew,Sandslash,NidoranF,Nidorina,Nidoqueen,NidoranM,Nidorino,Nidoking}

@DATA
grass,0.75,6.15,Bulbasaur
grass,0.68,6.85,Bulbasaur
grass,0.74,6.85,Bulbasaur
grass,0.74,7.61,Bulbasaur
grass,0.76,7.37,Bulbasaur
grass,0.71,7.34,Bulbasaur
grass,0.68,7.06,Bulbasaur
grass,0.6,6.76,Bulbasaur
grass,0.68,5.84,Bulbasaur
grass,0.75,6.53,Bulbasaur
grass,0.73,6.52,Bulbasaur
grass,0.67,7.09,Bulbasaur
grass,0.67,6.76,Bulbasaur
grass,0.68,6.82,Bulbasaur
grass,0.69,6.31,Bulbasaur
grass,0.62,8.05,Bulbasaur
grass,0.6,6.82,Bulbasaur
grass,0.67,6.56,Bulbasaur
grass,0.68,6.46,Bulbasaur
grass,0.57,6.66,Bulbasaur
grass,0.74,7.43,Bulbasaur
grass,0.74,7.65,Bulbasaur
grass,0.6,8.1,Bulbasaur
grass,0.68,7.37,Bulbasaur
grass,0.73,7.14,Bulbasaur
grass,0.94,13.21,Ivysaur
grass,1.05,11.86,Ivysaur
grass,0.91,14.55,Ivysaur
grass,1.09,14.03,Ivysaur
grass,0.89,14.21,Ivysaur
grass,0.98,12.89,Ivysaur
grass,1.06,10.81,Ivysaur
grass,0.74,10.81,Ivysaur
grass,0.83,12.29,Ivysaur
grass,0.81,11.15,Ivysaur
grass,1.18,12.51,Ivysaur
grass,1.01,12.91,Ivysaur
grass,0.96,15.26,Ivysaur
grass,1.0,12.52,Ivysaur
grass,1.08,14.04,Ivysaur
grass,1.1,13.82,Ivysaur
grass,0.98,11.52,Ivysaur
grass,0.98,12.98,Ivysaur
grass,0.94,14.9,Ivysaur
grass,0.95,12.68,Ivysaur
grass,1.1,12.45,Ivysaur
grass,1.16,12.18,Ivysaur
grass,1.07,13.08,Ivysaur
grass,1.02,11.92,Ivysaur
grass,0.89,11.93,Ivysaur
grass,1.97,102.44,Venusaur
grass,1.75,112.64,Venusaur
grass,2.14,92.94,Venusaur
grass,1.69,119.74,Venusaur
grass,1.79,105.73,Venusaur
grass,1.85,106.1,Venusaur
grass,2.07,112.28,Venusaur
grass,2.08,89.76,Venusaur
grass,2.09,93.76,Venusaur
grass,1.99,117.35,Venusaur
grass,1.78,103.91,Venusaur
grass,1.91,91.97,Venusaur
grass,2.16,106.5,Venusaur
grass,2.49,100.53,Venusaur
grass,1.87,74.19,Venusaur
grass,2.01,105.32,Venusaur
grass,2.11,94.43,Venusaur
grass,1.85,102.77,Venusaur
grass,1.85,96.2,Venusaur
grass,2.42,79.55,Venusaur
grass,1.75,107.51,Venusaur
grass,1.9,103.34,Venusaur
grass,1.42,107.27,Venusaur
grass,1.92,102.64,Venusaur
grass,1.84,115.09,Venusaur
fire,0.56,7.52,Charmander
fire,0.55,8.63,Charmander
fire,0.54,8.39,Charmander
fire,0.48,8.57,Charmander
fire,0.54,9.89,Charmander
fire,0.45,8.63,Charmander
fire,0.6,8.4,Charmander
fire,0.49,8.74,Charmander
fire,0.59,9.28,Charmander
fire,0.61,8.89,Charmander
fire,0.71,8.85,Charmander
fire,0.52,7.1,Charmander
fire,0.7,7.41,Charmander
fire,0.67,8.79,Charmander
fire,0.53,8.81,Charmander
fire,0.63,8.02,Charmander
fire,0.62,9.28,Charmander
fire,0.62,9.57,Charmander
fire,0.67,8.51,Charmander
fire,0.61,8.91,Charmander
fire,0.51,9.66,Charmander
fire,0.58,8.21,Charmander
fire,0.54,9.68,Charmander
fire,0.56,8.14,Charmander
fire,0.67,8.55,Charmander
fire,1.27,22.45,Charmeleon
fire,1.26,20.1,Charmeleon
fire,1.15,21.5,Charmeleon
fire,0.96,17.65,Charmeleon
fire,1.15,19.41,Charmeleon
fire,1.09,18.47,Charmeleon
fire,1.18,19.9,Charmeleon
fire,1.31,17.88,Charmeleon
fire,1.07,19.31,Charmeleon
fire,1.29,21.41,Charmeleon
fire,1.19,20.68,Charmeleon
fire,1.27,16.16,Charmeleon
fire,1.38,18.01,Charmeleon
fire,0.96,17.59,Charmeleon
fire,1.33,18.49,Charmeleon
fire,0.92,20.47,Charmeleon
fire,1.13,19.28,Charmeleon
fire,1.18,19.93,Charmeleon
fire,1.11,19.06,Charmeleon
fire,1.03,18.32,Charmeleon
fire,1.01,17.87,Charmeleon
